Cocktail	Wodka	Orangensaft	Asbach	Cola	Whisky	RedBull	Maracuja	Gin	Tonic	Pre	Post	Comment	Wiki
Solero	11%	33%	0%	0%	0%	0%	20%	0%	0%	ein Spritzer Zitronensaft und ein Spritzer Vanillesirup ins Glas geben		Der Solero ist ein himmlisch fruchtiger Longdrink mit dem Geschmack reifer Tropenfrüchte und Vanille. Dieser Cocktail gehört an sich nicht zu den Klassikern, ist deswegen aber nicht minder beliebt bei allen Cocktail Fans. 	
SoleroLight	0%	33%	0%	0%	0%	0%	20%	0%	0%	ein Spritzer Zitronensaft und ein Spritzer Vanillesirup ins Glas geben		Der Solero ist ein himmlisch fruchtiger Longdrink mit dem Geschmack reifer Tropenfrüchte und Vanille. Dieser Cocktail gehört an sich nicht zu den Klassikern, ist deswegen aber nicht minder beliebt bei allen Cocktail Fans. 	
Ruscherl	0%	0%	20%	60%	0%	0%	0%	0%	0%		mit Johannisbeersaft wird ein schwarzes Rüscherl draus	Rüscherl ist ein Klassiker unter den Zeltfest-Getränken. Unter dem exotischeren Namen "Cuba Libre" bekommt man den Klassiker auch in gehobenen Cocktailbars.	
RuscherlPlus	0%	0%	30%	50%	0%	0%	0%	0%	0%		mit Johannisbeersaft wird ein schwarzes Rüscherl draus	Rüscherl ist ein Klassiker unter den Zeltfest-Getränken. Unter dem exotischeren Namen "Cuba Libre" bekommt man den Klassiker auch in gehobenen Cocktailbars. Mit mehr Alkohol.	
JackyCola	0%	0%	0%	65%	15%	0%	0%	0%	0%			Der Whisky-Cola ist so ziemlich der Klassiker unter den Highball-Cocktails 	
Flugerl	20%	0%	0%	0%	0%	60%	0%	0%	0%			Dieses Flügerl wird mit Red Bull und Wodka zubereitet. Ein tolles Party Rezept, dass schnell zubereitet ist und toll aussieht.	
JackyBull	0%	0%	0%	0%	15%	60%	0%	0%	0%			Whiskey + Red Bull. fertig.	
WodkaSunrise	25%	60%	0%	0%	0%	0%	0%	0%	0%			Wodka + Orangensaft. fertig.	
BourbonSunrise	0%	65%	0%	0%	20%	0%	0%	0%	0%			Der Bourbon Sunrise ist eine abgewandelte Variante des Tequila Sunrise.	
GinTonic	0%	0%	0%	0%	0%	0%	0%	15%	45%			Gin Tonic ist ein klassischer Longdrink aus Gin und Tonic Water.	
GinTonicPlus	0%	0%	0%	0%	0%	0%	0%	30%	30%			Gin Tonic ist ein klassischer Longdrink aus Gin und Tonic Water.	
Tropical	0%	20%	0%	0%	0%	0%	20%	15%	10%			Tropical - eine fruchtige Kombination aus Gin, Orangensaft und Maracujasaft.	
Spezial	5%	35%	4%	20%	5%	6%	0%	0%	0%			Probiers mal.	
Spezial2	6%	30%	0%	10%	12%	22%	0%	0%	0%			Probiers mal (mit mehr Bull).	
Spezial3	1%	15%	1%	35%	1%	15%	0%	0%	0%			Probiers mal (mit ganz wenig Alkohol).	
Spezial4	0%	25%	0%	40%	0%	15%	0%	0%	0%			Probiers mal (ganz ohne Alkohol).	
